VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
1,2/1/2016 20:48,2/1/2016 20:57,1,2.3,0,0,1,Y,0,0,1,9.5,0.5,0.5,2,0,0.3,12.8,,
1,2/9/2016 19:08,2/9/2016 19:28,1,2.9,-73.98698425,40.75074387,1,Y,-73.97702789,40.78692245,1,15,1,0.5,4.2,0,0.3,21,,
1,2/1/2016 13:50,2/1/2016 13:55,1,1.2,-74.01242828,40.70678711,1,Y,-74.00273895,40.71876526,1,6,0,0.5,1.35,0,0.3,8.15,,
1,2/27/2016 15:14,2/27/2016 15:18,1,1,-74.00009155,40.73770905,1,Y,-74.00254059,40.72853851,2,5.5,0,0.5,0,0,0.3,6.3,,
1,2/10/2016 13:34,2/10/2016 14:22,2,17.6,-73.7903595,40.64383698,2,Y,-73.98268127,40.75000763,2,52,0,0.5,0,5.54,0.3,58.34,,
1,2/18/2016 14:26,2/18/2016 15:20,2,16.4,-73.98365784,40.75566864,2,Y,-73.78207397,40.64431763,1,52,0,0.5,10,5.54,0.3,68.34,,
1,2/3/2016 22:44,2/3/2016 22:56,1,1.9,-73.98139191,40.76080704,1,Y,-73.97870636,40.74060059,1,10,0.5,0.5,2.25,0,0.3,13.55,,
1,2/24/2016 17:38,2/24/2016 17:43,2,0.8,-73.95320129,40.77850723,1,Y,-73.95452881,40.78566742,2,5.5,1,0.5,0,0,0.3,7.3,,
1,2/12/2016 23:47,2/12/2016 23:53,1,0.9,-74.00788879,40.71518326,1,Y,-73.99603271,40.71299744,1,6,0.5,0.5,1.45,0,0.3,8.75,,
1,2/24/2016 14:35,2/24/2016 14:49,1,1.4,-73.99137878,40.75000381,1,Y,-73.9790802,40.7618866,1,10,0,0.5,2.7,0,0.3,13.5,,
1,2/15/2016 16:44,2/15/2016 16:59,2,1.5,-74.00327301,40.72703171,1,Y,-73.98226929,40.72779846,2,10.5,0,0.5,0,0,0.3,11.3,,
1,2/2/2016 17:19,2/2/2016 17:19,1,0.1,-73.80732727,40.65772629,2,Y,-73.80751038,40.65587234,1,52,0,0.5,8,0,0.3,60.8,,
1,2/14/2016 23:04,2/14/2016 23:09,3,0.7,-73.98597717,40.73096848,1,Y,-73.99198151,40.72185898,1,5.5,0.5,0.5,1,0,0.3,7.8,,
1,2/15/2016 6:27,2/15/2016 6:51,2,7.7,-73.98696899,40.73382187,1,Y,-73.95816803,40.81318283,2,26,0,0.5,0,0,0.3,26.8,,
1,2/15/2016 19:54,2/15/2016 20:04,2,2.4,-73.97150421,40.75751495,1,Y,-73.94763184,40.77939224,1,9.5,0.5,0.5,2.15,0,0.3,12.95,,
1,2/3/2016 15:27,2/3/2016 15:38,2,0.7,-74.00185394,40.74577713,1,Y,-73.99967194,40.73838043,1,7.5,0,0.5,2.45,0,0.3,10.75,,
1,2/1/2016 8:04,2/1/2016 8:18,3,3.2,-74.01670074,40.70832825,1,Y,-74.0034256,40.74907303,2,13,0,0.5,0,0,0.3,13.8,,
1,2/16/2016 12:13,2/16/2016 12:26,1,2.1,-73.98141479,40.76869965,1,Y,-73.97285461,40.79307556,1,10.5,0,0.5,2.25,0,0.3,13.55,,
1,2/12/2016 11:48,2/12/2016 11:53,1,1.3,-73.95935822,40.76350021,1,Y,-73.94870758,40.77806473,1,6.5,0,0.5,1.45,0,0.3,8.75,,
1,2/7/2016 22:56,2/7/2016 23:06,1,1.6,-73.93375397,40.80265427,1,Y,-73.95526886,40.8092804,1,8.5,0.5,0.5,1,0,0.3,10.8,,
1,2/13/2016 14:03,2/13/2016 14:19,1,2.9,-73.97216034,40.75753403,1,Y,-73.94805908,40.78987503,1,13.5,0,0.5,2.85,0,0.3,17.15,,
1,2/13/2016 16:08,2/13/2016 16:17,1,1.6,-73.99511719,40.73957062,1,Y,-73.99742889,40.75680161,2,8,0,0.5,0,0,0.3,8.8,,
1,2/8/2016 22:41,2/8/2016 22:49,3,2.7,-73.98334503,40.6937027,1,Y,-73.99913788,40.72790146,1,10.5,0.5,0.5,2.35,0,0.3,14.15,,
1,2/29/2016 6:42,2/29/2016 6:45,1,0.7,-73.97529602,40.75213242,1,Y,-73.97071075,40.74541092,2,4.5,0,0.5,0,0,0.3,5.3,,
1,2/15/2016 15:47,2/15/2016 16:12,1,2.5,-73.97331238,40.74838638,1,Y,-73.9835434,40.71994781,1,16,0,0.5,2.22,0,0.3,19.02,,
1,2/6/2016 16:33,2/6/2016 16:59,1,5.3,-73.97279358,40.78081894,1,Y,-73.99810028,40.72336578,2,21,0,0.5,0,0,0.3,21.8,,
1,2/15/2016 6:13,2/15/2016 6:14,1,0.5,-73.97510529,40.75243378,1,Y,-73.9809494,40.74451447,1,4,0,0.5,1.2,0,0.3,6,,
1,2/28/2016 15:30,2/28/2016 15:53,2,2,-73.96112823,40.7720108,1,Y,-73.99039459,40.77535629,1,15,0,0.5,2,0,0.3,17.8,,
1,2/1/2016 22:22,2/1/2016 22:42,1,13.7,-73.86364746,40.76970291,1,Y,-73.9961853,40.67821503,1,37,0.5,0.5,9.55,0,0.3,47.85,,
1,2/24/2016 9:34,2/24/2016 9:48,1,0.9,-73.98270416,40.73957825,1,Y,-73.993927,40.7461853,2,9.5,0,0.5,0,0,0.3,10.3,,
1,2/22/2016 18:11,2/22/2016 18:19,1,1.3,-73.99918365,40.72502899,1,Y,-73.99465942,40.7404747,1,7,1,0.5,0.8,0,0.3,9.6,,
1,2/13/2016 20:49,2/13/2016 21:01,1,0.9,-73.967659,40.76247025,1,Y,-73.98116302,40.76435471,1,8.5,0.5,0.5,1.95,0,0.3,11.75,,
1,2/17/2016 0:56,2/17/2016 1:07,1,3.7,-73.78200531,40.64471436,1,Y,-73.8041153,40.67639923,2,13.5,0.5,0.5,0,0,0.3,14.8,,
1,2/29/2016 18:23,2/29/2016 18:44,1,7,-73.96733856,40.76019287,1,Y,-74.01776123,40.7093811,1,23,1,0.5,3,0,0.3,27.8,,
1,2/8/2016 10:47,2/8/2016 11:00,1,1.3,-73.98187256,40.75790787,1,Y,-73.98751068,40.77036667,2,10,0,0.5,0,0,0.3,10.8,,
1,2/13/2016 11:43,2/13/2016 11:48,2,1,-73.96672821,40.75735474,1,Y,-73.97691345,40.7432518,1,6,0,0.5,2,0,0.3,8.8,,
1,2/6/2016 18:08,2/6/2016 18:21,1,2.8,-73.94123077,40.80245972,1,Y,-73.97351074,40.78458786,1,11.5,0,0.5,2.45,0,0.3,14.75,,
1,2/15/2016 20:17,2/15/2016 20:24,1,1,-73.91833496,40.77014923,1,Y,-73.90409088,40.77777481,2,6,0.5,0.5,0,0,0.3,7.3,,
1,2/13/2016 10:21,2/13/2016 10:28,1,1.1,-73.97809601,40.75746918,1,Y,-73.98892212,40.74842072,1,7,0,0.5,5,0,0.3,12.8,,
1,2/16/2016 10:11,2/16/2016 10:41,1,2.7,-73.98286438,40.73789597,1,Y,-73.97740173,40.76251984,1,19.5,0,0.5,4.05,0,0.3,24.35,,
1,2/22/2016 8:41,2/22/2016 8:44,1,0.6,-74,40.72186661,1,Y,-74.00256348,40.72882843,1,4,0,0.5,0.95,0,0.3,5.75,,
1,2/14/2016 12:14,2/14/2016 12:38,1,1.6,-73.98981476,40.74176407,1,Y,-73.98358917,40.75723267,1,15.5,0,0.5,3.26,0,0.3,19.56,,
1,2/18/2016 12:48,2/18/2016 12:58,1,1.6,-73.99250793,40.72430038,1,Y,-73.98554993,40.74317932,1,9,0,0.5,1,0,0.3,10.8,,
1,2/2/2016 16:33,2/2/2016 16:42,1,1.1,-73.9807663,40.76427078,1,Y,-73.99078369,40.75008774,1,7.5,1,0.5,1.85,0,0.3,11.15,,
1,2/17/2016 21:17,2/17/2016 21:34,1,4.3,-73.99882507,40.74985886,1,Y,-74.00978088,40.70575333,1,16.5,0.5,0.5,3.56,0,0.3,21.36,,
1,2/2/2016 1:22,2/2/2016 1:37,2,6.3,-73.99508667,40.72500229,1,Y,-73.9484024,40.7890892,1,20,0.5,0.5,1.5,0,0.3,22.8,,
1,2/21/2016 17:33,2/21/2016 17:56,1,8.4,-73.8707428,40.77364349,1,Y,-73.96499634,40.8015976,2,26,0,0.5,0,5.54,0.3,32.34,,
1,2/14/2016 19:17,2/14/2016 19:22,2,0.6,-73.98758698,40.7499733,1,Y,-73.99017334,40.75653076,2,5.5,0,0.5,0,0,0.3,6.3,,
1,2/20/2016 2:56,2/20/2016 3:10,1,3.7,-74.00931549,40.73803711,1,Y,-73.9835968,40.77600479,1,14,0.5,0.5,1,0,0.3,16.3,,
1,2/3/2016 17:39,2/3/2016 17:46,1,1,-73.97688293,40.76570511,1,Y,-73.97610474,40.77622986,1,6.5,1,0.5,1.65,0,0.3,9.95,,
1,2/3/2016 18:55,2/3/2016 19:01,1,0.8,-74.00696564,40.71358871,1,Y,-74.01301575,40.70331955,1,5.5,1,0.5,3.65,0,0.3,10.95,,
1,2/25/2016 6:40,2/25/2016 6:42,2,0.7,-73.99177551,40.74951172,1,Y,-73.98721313,40.74308014,1,4.5,0,0.5,1.05,0,0.3,6.35,,
1,2/13/2016 10:31,2/13/2016 10:48,2,7.3,-73.97214508,40.76512527,1,Y,-74.01338196,40.70920563,2,22,0,0.5,0,0,0.3,22.8,,
1,2/17/2016 15:57,2/17/2016 16:02,1,0.6,-73.98543549,40.75743103,1,Y,-73.97949219,40.75285339,1,5,0,0.5,1.15,0,0.3,6.95,,
1,2/10/2016 18:50,2/10/2016 19:28,2,12.1,-73.98744202,40.72919464,1,Y,-74.03462982,40.61261749,1,38.5,1,0.5,9.15,5.54,0.3,54.99,,
1,2/4/2016 8:33,2/4/2016 9:09,1,6.2,-73.98580933,40.75880432,1,Y,-74.01071167,40.70290375,1,28.5,0,0.5,5.86,0,0.3,35.16,,
1,2/8/2016 21:13,2/8/2016 21:24,1,2.8,-73.98687744,40.76607132,1,Y,-74.0014801,40.72924423,1,11,0.5,0.5,2.46,0,0.3,14.76,,
1,2/28/2016 23:35,2/28/2016 23:48,2,4.1,-73.99212646,40.748806,1,Y,-73.94895935,40.78339005,1,14,0.5,0.5,3.05,0,0.3,18.35,,
1,2/10/2016 20:17,2/10/2016 20:28,1,2,-73.95779419,40.76459885,1,Y,-73.98383331,40.78045273,2,10,0.5,0.5,0,0,0.3,11.3,,
1,2/15/2016 21:31,2/15/2016 21:49,1,3.5,-73.99411011,40.75107574,1,Y,-73.97247314,40.7935257,2,15,0.5,0.5,0,0,0.3,16.3,,
1,2/6/2016 18:58,2/6/2016 19:15,1,9.2,-73.97218323,40.79971695,1,Y,-73.9055481,40.90428162,1,26.5,0,0.5,5.46,0,0.3,32.76,,
1,2/9/2016 16:53,2/9/2016 17:18,1,3.4,-73.96822357,40.76567459,1,Y,-74.00725555,40.73568726,1,17,1,0.5,3.76,0,0.3,22.56,,
1,2/13/2016 18:15,2/13/2016 18:37,1,3.2,-73.9963913,40.72360611,1,Y,-73.97993469,40.76228333,2,15.5,0,0.5,0,0,0.3,16.3,,
1,2/17/2016 13:50,2/17/2016 13:57,1,0.7,-73.96748352,40.7718277,1,Y,-73.97393036,40.76325989,1,6,0,0.5,1.35,0,0.3,8.15,,
1,2/6/2016 4:54,2/6/2016 5:12,1,7.3,-73.98226929,40.69833374,1,Y,-73.95348358,40.640625,2,23.5,0.5,0.5,0,0,0.3,24.8,,
1,2/27/2016 17:56,2/27/2016 18:06,1,1.9,-73.95417786,40.7706337,1,Y,-73.97488403,40.75537109,1,9,0,0.5,2.45,0,0.3,12.25,,
1,2/2/2016 14:52,2/2/2016 14:55,3,0.5,-73.950737,40.77504349,1,Y,-73.95304871,40.78099823,1,4.5,0,0.5,1,0,0.3,6.3,,
1,2/26/2016 5:01,2/26/2016 5:25,2,18.5,-73.95043945,40.78648758,2,Y,-73.7886734,40.64743423,1,52,0,0.5,6.66,5.54,0.3,65,,
1,2/1/2016 7:53,2/1/2016 8:11,2,1.6,-73.99758911,40.76522064,1,Y,-73.97531128,40.75218964,2,12,0,0.5,0,0,0.3,12.8,,
1,2/11/2016 8:31,2/11/2016 8:34,1,0.9,-73.95762634,40.80120468,1,Y,-73.96643066,40.78946686,2,5,0,0.5,0,0,0.3,5.8,,
1,2/28/2016 16:08,2/28/2016 16:08,1,0.1,-73.98101044,40.72956085,1,Y,-73.98261261,40.7273941,1,2.5,0,0.5,0.65,0,0.3,3.95,,
1,2/27/2016 22:18,2/27/2016 22:19,1,0.1,-73.98291779,40.76681519,1,Y,-73.98518372,40.76784897,4,2.5,0.5,0.5,0,0,0.3,3.8,,
1,2/8/2016 19:35,2/8/2016 19:37,1,0.3,-73.95107269,40.7704277,1,Y,-73.95384216,40.76597977,1,3.5,1,0.5,1.55,0,0.3,6.85,,
1,2/25/2016 20:15,2/25/2016 20:32,1,4.5,-74.00730896,40.74302292,1,Y,-73.97190094,40.79960251,1,16,0.5,0.5,3.11,0,0.3,20.41,,
1,2/17/2016 20:00,2/17/2016 20:21,1,5.9,-73.98532104,40.72224808,1,Y,-73.90510559,40.70819473,2,20,0.5,0.5,0,0,0.3,21.3,,
1,2/9/2016 15:59,2/9/2016 16:08,1,1.3,0,0,1,Y,-73.96110535,40.8133812,2,7.5,1,0.5,0,0,0.3,9.3,,
1,2/1/2016 15:57,2/1/2016 17:15,2,16.5,-73.99060822,40.75632858,2,Y,-73.78988647,40.64325333,2,52,0,0.5,0,5.54,0.3,58.34,,
1,2/20/2016 21:37,2/20/2016 21:58,1,6.7,-73.9811554,40.73332977,1,Y,-73.97087097,40.80089951,2,22.5,0.5,0.5,0,0,0.3,23.8,,
1,2/1/2016 13:58,2/1/2016 14:37,2,17,-73.97291565,40.76070786,2,Y,-73.78741455,40.6475296,1,52,0,0.5,11.65,5.54,0.3,69.99,,
1,2/10/2016 14:49,2/10/2016 14:54,1,0.6,-73.94786835,40.77103043,1,Y,-73.94976807,40.77705002,1,5.5,0,0.5,1.25,0,0.3,7.55,,
1,2/6/2016 23:45,2/6/2016 23:57,4,2.1,-74.00498962,40.72289658,1,Y,-74.00797272,40.74015808,2,10,0.5,0.5,0,0,0.3,11.3,,
1,2/13/2016 10:56,2/13/2016 11:07,1,2.3,-73.94911194,40.77680588,1,Y,-73.97177887,40.79691315,2,10.5,0,0.5,0,0,0.3,11.3,,
1,2/16/2016 15:43,2/16/2016 15:55,2,1.3,-73.9748764,40.76005173,1,Y,-73.99008179,40.75170517,2,9,0,0.5,0,0,0.3,9.8,,
1,2/8/2016 12:07,2/8/2016 12:19,1,2.1,-73.98242188,40.78237152,1,Y,-73.99068451,40.75789642,2,10.5,0,0.5,0,0,0.3,11.3,,
1,2/17/2016 19:54,2/17/2016 20:11,2,5.1,-74.01464081,40.71398926,1,Y,-73.98877716,40.77838516,1,17,1,0.5,1.88,0,0.3,20.68,,
1,2/17/2016 19:07,2/17/2016 19:22,1,1.5,-73.97813416,40.7503624,1,Y,-73.99014282,40.75560379,1,11,1,0.5,0,0,0.3,12.8,,
1,2/12/2016 5:22,2/12/2016 5:29,1,1.1,-73.99182129,40.71496582,1,Y,-74.00389862,40.7210083,2,7,0.5,0.5,0,0,0.3,8.3,,
